Source,Target,Weight,Type
AL-epis_Cicero.adattic,AL-epis_Cicero.adbrutum,29,undirected
AL-epis_Cicero.adattic,AL-epis_Cicero.adfam,65,undirected
AL-epis_Cicero.adattic,AL-epis_Cicero.adfrat,56,undirected
AL-epis_Cicero.adattic,AL-theo_Augustinus.Contra_Academicos,2,undirected
AL-epis_Cicero.adattic,NL-epis_Lipsius.epist,2,undirected
AL-epis_Cicero.adbrutum,AL-epis_Cicero.adattic,29,undirected
AL-epis_Cicero.adbrutum,AL-epis_Cicero.adfam,45,undirected
AL-epis_Cicero.adbrutum,AL-epis_Cicero.adfrat,11,undirected
AL-epis_Cicero.adbrutum,AL-orat_Cicero.cluentio,1,undirected
AL-epis_Cicero.adbrutum,AL-orat_Cicero.marc,4,undirected
AL-epis_Cicero.adbrutum,AL-orat_Cicero.philippicae,7,undirected
AL-epis_Cicero.adbrutum,AL-phil_Cicero.leg,6,undirected
AL-epis_Cicero.adbrutum,NL-phil_Descartes.Meditationes,1,undirected
AL-epis_Cicero.adfam,AL-epis_Cicero.adattic,65,undirected
AL-epis_Cicero.adfam,AL-epis_Cicero.adbrutum,45,undirected
AL-epis_Cicero.adfam,AL-epis_Cicero.adfrat,42,undirected
AL-epis_Cicero.adfam,AL-orat_Cicero.plancio,9,undirected
AL-epis_Cicero.adfam,AL-phil_Cicero.fin,2,undirected
AL-epis_Cicero.adfam,NL-phil_Descartes.Regulae,1,undirected
AL-epis_Cicero.adfrat,AL-epis_Cicero.adattic,56,undirected
AL-epis_Cicero.adfrat,AL-epis_Cicero.adbrutum,11,undirected
AL-epis_Cicero.adfrat,AL-epis_Cicero.adfam,42,undirected
AL-epis_Cicero.adfrat,AL-orat_Cicero.plancio,1,undirected
AL-epis_Cicero.adfrat,NL-epis_Lipsius.epist,1,undirected
AL-epis_Hieronymus.epistulae,AL-epis_Sidonius.epistulae,21,undirected
AL-epis_Hieronymus.epistulae,AL-fict_Petronius.sat,4,undirected
AL-epis_Hieronymus.epistulae,AL-tech_Quintilianus.decl.mai,4,undirected
AL-epis_Hieronymus.epistulae,ML-epis_PetrusDeVinea.AlimPetrusDeVineaEpistoleStravangantiEAltriComponimenti.rtf,3,undirected
AL-epis_Hieronymus.epistulae,ML-poes_Alii.carmbur,6,undirected
AL-epis_Hieronymus.epistulae,NL-epis_Erasmus.epist,6,undirected
AL-epis_Hieronymus.epistulae,NL-epis_Lipsius.epist,8,undirected
AL-epis_Hieronymus.epistulae,NL-poes_Balde.poemata,17,undirected
AL-epis_Hieronymus.epistulae,NL-theo_EncyclXXc.PiusXI_casti,1,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-epis_Sidonius.epistulae,2,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-hist_Tacitus.tac.dialogus,8,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-orat_Anonymus.o-anon-paneg,3,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-orat_Plinius Minor.pliny.panegyricus,24,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-phil_Apuleius.apuleius.apol,9,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-tech_Anonymus.t-anon-adnLuc,1,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-tech_Columella.rustica,3,undirected
AL-epis_Plinius_Minor.plinius-ep,AL-theo_Arnobius.advnat,3,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-epis_Alii.baricev-aa-epist,5,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-epis_Erasmus.epist,3,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-epis_Lipsius.epist,32,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-epis_Vossius.epistol,30,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-phil_Morus.more,4,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-tech_Erasmus.derecta,1,undirected
AL-epis_Plinius_Minor.plinius-ep,NL-tech_Masen.palaesstyl,8,undirected
AL-epis_Sallustius.sall-ep,AL-hist_Sallustius.sall.cat,45,undirected
AL-epis_Sallustius.sall-ep,AL-hist_Sallustius.sall.jug,21,undirected
AL-epis_Sallustius.sall-ep,AL-tech_Aulus Gellius.NocAtt,3,undirected
AL-epis_Sallustius.sall-ep,NL-phil_Alii.andreis-f-sylla,7,undirected
AL-epis_Sallustius.sall-ep,NL-poes_Alii.zamagna-b-echo,2,undirected
AL-epis_Sidonius.epistulae,AL-epis_Hieronymus.epistulae,21,undirected
AL-epis_Sidonius.epistulae,AL-epis_Plinius_Minor.plinius-ep,2,undirected
AL-epis_Sidonius.epistulae,AL-epis_Symmachus.e-sym-epist,23,undirected
AL-epis_Sidonius.epistulae,AL-orat_Anonymus.o-anon-paneg,10,undirected
AL-epis_Sidonius.epistulae,AL-poes_Ausonius.OpusculaOmnia,10,undirected
AL-epis_Sidonius.epistulae,AL-tech_Quintilianus.decl.mai,7,undirected
AL-epis_Sidonius.epistulae,ML-epis_PetrusDeVinea.AlimPetrusDeVineaEpistoleStravangantiEAltriComponimenti.rtf,13,undirected
AL-epis_Sidonius.epistulae,NL-epis_Alii.baricev-aa-epist,3,undirected
AL-epis_Sidonius.epistulae,NL-epis_Lipsius.epist,8,undirected
AL-epis_Sidonius.epistulae,NL-epis_Piccolomini.ep,3,undirected
AL-epis_Sidonius.epistulae,NL-fict_Erasmus.lausstul,6,undirected
AL-epis_Sidonius.epistulae,NL-phil_Morus.more,2,undirected
AL-epis_Sidonius.epistulae,NL-poes_Balde.poemata,22,undirected
AL-epis_Symmachus.e-sym-epist,AL-epis_Sidonius.epistulae,23,undirected
AL-epis_Symmachus.e-sym-epist,AL-phil_Apuleius.apuleius.deosocratis,2,undirected
AL-epis_Symmachus.e-sym-epist,AL-poes_Catullus.catullus,1,undirected
AL-epis_Symmachus.e-sym-epist,AL-theo_Boethius.De_fide_catholica,3,undirected
AL-epis_Symmachus.e-sym-epist,NL-epis_Alii.andreis-f-epist,1,undirected
AL-epis_Symmachus.e-sym-epist,NL-epis_Erasmus.epist,2,undirected
AL-epis_Symmachus.e-sym-epist,NL-epis_Lipsius.epist,34,undirected
AL-epis_Symmachus.e-sym-epist,NL-epis_Vossius.epistol,11,undirected
AL-epis_Symmachus.e-sym-epist,NL-fict_Alii.Corvinus-lat-yde,6,undirected
AL-fict_Apuleius.metamorph,AL-fict_Petronius.sat,7,undirected
AL-fict_Apuleius.metamorph,AL-poes_Ovidius.met,4,undirected
AL-fict_Apuleius.metamorph,AL-poes_Prudentius.sym,2,undirected
AL-fict_Apuleius.metamorph,AL-poes_Statius.achil,3,undirected
AL-fict_Apuleius.metamorph,AL-poes_Statius.theb,16,undirected
AL-fict_Apuleius.metamorph,ML-poes_Waltharius Manu Fortis.walt,7,undirected
AL-fict_Apuleius.metamorph,NL-poes_Balde.poemata,27,undirected
AL-fict_Apuleius.metamorph,NL-poes_Bargeo.carmapp,3,undirected
AL-fict_Apuleius.metamorph,NL-poes_Celtis.odae,1,undirected
AL-fict_Hyginus.FABVLAE,AL-hist_Aurelius Victor.DeVirisIllustribus,7,undirected
AL-fict_Hyginus.FABVLAE,AL-hist_Dares.deexcid,5,undirected
AL-fict_Hyginus.FABVLAE,AL-hist_HistAug.sepsev,1,undirected
AL-fict_Hyginus.FABVLAE,AL-tech_Frontinus.stratagemata,6,undirected
AL-fict_Hyginus.FABVLAE,ML-fict_MythographiVaticani.MythVatI,32,undirected
AL-fict_Hyginus.FABVLAE,ML-fict_MythographiVaticani.MythVatII,15,undirected
AL-fict_Hyginus.FABVLAE,NL-hist_Lhomand.lhomond.viris,4,undirected
AL-fict_Hyginus.FABVLAE,NL-hist_Thuanus.histsuitemp,3,undirected
